time_s,position,velocity,acceleration,jerk,phase,setpoint,dir
1.645000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.646000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.647000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.648000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.649000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.650000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.651000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.652000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.653000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.654000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.655000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.656000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.657000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.658000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.659000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.660000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.661000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.662000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.663000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.664000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.665000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.666000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.667000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.668000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.669000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.670000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.671000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.672000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.673000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.674000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.675000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.676000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.677000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.678000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.679000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.680000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.681000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.682000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.683000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.684000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.685000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.686000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.687000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.688000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.689000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.690000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.691000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.692000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.693000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.694000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.695000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.696000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.697000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.698000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.699000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.700000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.701000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.702000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.703000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.704000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.705000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.706000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.707000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.708000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.709000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.710000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.711000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.712000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.713000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.714000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.715000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.716000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.717000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.718000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.719000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.720000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.721000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.722000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.723000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.724000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.725000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.726000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.727000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.728000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.729000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.730000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.731000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.732000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.733000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.734000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.735000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.736000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.737000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.738000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.739000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.740000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.741000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.742000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.743000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.744000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.745000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.746000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.747000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.748000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.749000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.750000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.751000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.752000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.753000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.754000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.755000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.756000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.757000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.758000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.759000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.760000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.761000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.762000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.763000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.764000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.765000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.766000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.767000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.768000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.769000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.770000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.771000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.772000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.773000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.774000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.775000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.776000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.777000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.778000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.779000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.780000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.781000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.782000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.783000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.784000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.785000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.786000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.787000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.788000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.789000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.790000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.791000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.792000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.793000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.794000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.795000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.796000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.797000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.798000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.799000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.800000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.801000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.802000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.803000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.804000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.805000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.806000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.807000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.808000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.809000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.810000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.811000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.812000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.813000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.814000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.815000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.816000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.817000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.818000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.819000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.820000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.821000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.822000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.823000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.824000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.825000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.826000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.827000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.828000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.829000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.830000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.831000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.832000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.833000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.834000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.835000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.836000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.837000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.838000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.839000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.840000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.841000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
