t_s,target_rad,theta,omega,accel,jerk,isExec,cruiseN,skipAccel
3.457000,0.6981317,0.2524789,0.1309812,0.0000349,0.0830839,1,0,0
3.458000,0.6981317,0.2526099,0.1309812,0.0000289,0.0830839,1,0,0
3.459000,0.6981317,0.2527409,0.1309812,0.0000202,0.0830839,1,0,0
3.460000,0.6981317,0.2528718,0.1309812,0.0000141,0.0830839,1,0,0
3.461000,0.6981317,0.2530028,0.1309812,0.0000099,0.0830839,1,0,0
3.462000,0.6981317,0.2531338,0.1309812,0.0000069,0.0830839,1,0,0
3.463000,0.6981317,0.2532648,0.1309812,0.0000049,0.0830839,1,0,0
3.464000,0.6981317,0.2533958,0.1309812,0.0000034,0.0830839,1,0,0
3.465000,0.6981317,0.2535267,0.1309812,0.0000024,0.0830839,1,0,0
3.466000,0.6981317,0.2536577,0.1309812,0.0000017,0.0830839,1,0,0
3.467000,0.6981317,0.2537887,0.1309812,0.0000012,0.0830839,1,0,0
3.468000,0.6981317,0.2539197,0.1309812,0.0000008,0.0830839,1,0,0
3.469000,0.6981317,0.2540507,0.1309812,0.0000006,0.0830839,1,0,0
3.470000,0.6981317,0.2541817,0.1309812,0.0000004,0.0830839,1,0,0
3.471000,0.6981317,0.2543126,0.1309812,0.0000003,0.0830839,1,0,0
3.472000,0.6981317,0.2544436,0.1309812,0.0000002,0.0830839,1,0,0
3.473000,0.6981317,0.2545746,0.1309812,0.0000001,0.0830839,1,0,0
3.474000,0.6981317,0.2547056,0.1309812,0.0000001,0.0830839,1,0,0
3.475000,0.6981317,0.2548366,0.1309812,0.0000001,0.0830839,1,0,0
3.476000,0.6981317,0.2549675,0.1309812,0.0000000,0.0830839,1,0,0
3.477000,0.6981317,0.2550985,0.1309812,0.0000000,0.0830839,1,0,0
3.478000,0.6981317,0.2552295,0.1309812,0.0000000,0.0830839,1,0,0
3.479000,0.6981317,0.2553605,0.1309812,0.0000000,0.0830839,1,0,0
3.480000,0.6981317,0.2554915,0.1309812,0.0000000,0.0830839,1,0,0
3.481000,0.6981317,0.2556224,0.1309812,0.0000000,0.0830839,1,0,0
3.482000,0.6981317,0.2557534,0.1309812,0.0000000,0.0830839,1,0,0
3.483000,0.6981317,0.2558844,0.1309812,0.0000000,0.0830839,1,0,0
3.484000,0.6981317,0.2560154,0.1309812,0.0000000,0.0830839,1,0,0
3.485000,0.6981317,0.2561464,0.1309812,0.0000000,0.0830839,1,0,0
3.486000,0.6981317,0.2562774,0.1309812,0.0000000,0.0830839,1,0,0
3.487000,0.6981317,0.2564083,0.1309812,0.0000000,0.0830839,1,0,0
3.488000,0.6981317,0.2565393,0.1309812,0.0000000,0.0830839,1,0,0
3.489000,0.6981317,0.2566703,0.1309812,0.0000000,0.0830839,1,0,0
3.490000,0.6981317,0.2568013,0.1309812,0.0000000,0.0830839,1,0,0
3.491000,0.6981317,0.2569323,0.1309812,0.0000000,0.0830839,1,0,0
3.492000,0.6981317,0.2570632,0.1309812,0.0000000,0.0830839,1,0,0
3.493000,0.6981317,0.2571942,0.1309812,0.0000000,0.0830839,1,0,0
3.494000,0.6981317,0.2573252,0.1309812,0.0000000,0.0830839,1,0,0
3.495000,0.6981317,0.2574562,0.1309812,0.0000000,0.0830839,1,0,0
